Team,Conf,Act W %,Pyth,Pyth Rank,Adj O,Rk,Adj D,Rk,Opp Adj O,Rk,Opp Adj D,Rk,Opp Pyth,Opp Pyth Rank,Avg FP,% of Avail Yards,Yrds / Poss,1st Downs / Poss,% of Poss in RZ,Yards / Point,Opp Avg FP,Opp % of Avail Yards,Opp Yrds / Poss,Opp 1st Downs / Poss,Opp % of Poss in RZ,Opp Yards / Point,Comp %,Pass Yards / Att,Pass Yards / Gm,Passer Rating,Pass Att / Sack,Pass TDs / Gm,Opp Comp %,Opp Pass Yards / Att,Opp Pass Yards / Gm,Opp Passer Rating,Opp Pass Att / Sack,Opp Pass TDs / Gm,% of Plays as Rush,% of Yards from Rush,Rush Att / Gm,Rush Yards / Gm,Rush Yards / Att,Rush TDs / Gm,Opp % of Plays as Rush,Opp % of Yards from Rush,Opp Rush Att / Gm,Opp Rush Yards / Gm,Opp Rush Yards / Att,Opp Rush TDs / Gm,% of Poss w/ 20+ Yard TD,FG %,% of Poss w/ Pts,Poss w/ TDs,Pts / Poss,Pts / Gm,Opp % of Poss w/ 20+ Yard TD,Opp FG %,Opp % of Poss w/ Pts,Opp Poss w/ TDs,Opp Pts / Poss,Opp Pts / Gm,Poss / Gm,Plays / Gm,Plays / Poss,Plays / Min,Avg TOP (min),Avg Drive Time (min),Opp Poss / Gm,Opp Plays / Gm,Opp Plays / Poss,Opp Plays / Min,Opp Avg TOP (min),Opp Avg Drive Time (min),Off % of Passes w/ INT,Off % of Plays w/ TO,Off % of Poss w/ TOs,Def % of Passes w/ INT,Def % of Plays w/ TO,Def % of Poss w/ TOs,Def-Off Poss TO % Margin
Colorado,Big 12,0.5385,0.4967,48,1.98,74,2,24,2.43,25,2.3,46,0.5322,36,69.23,36.15,25.03,1.23,23.03,14.2,71.46,36.29,25.94,1.27,29.76,14.79,58.5,6.39,222.77,119.59,21.59,1.15,58.26,6.69,248.92,118.87,19.26,1.15,48.58,33.12,32.92,110.31,3.35,1.15,48.73,28.71,35.38,100.23,2.83,1.38,4.62,76.67,30.64,17.34,1.76,23.46,4,70.83,28.57,18.86,1.75,23.62,13.31,67.77,5.09,2.3,29.41,2.21,13.46,72.62,5.39,2.37,29.41,2.27,1.77,2.38,12.14,2.89,2.44,13.14,1
Colorado State,MWC,0.5,0.2796,87,1.93,80,2.88,93,2.38,35,2.56,81,0.457,68,69,47.3,32.64,1.54,35.77,15.25,70.95,48.35,34.31,1.65,33.08,13.95,61.69,8.55,286.33,146.55,17.08,2.08,58.82,8.08,206,138.68,18,1.58,51.09,29.82,35,121.67,3.48,1.17,63.27,51.96,43.92,222.83,5.07,2.08,8.67,68.42,34.67,26,2.14,26.75,13.33,90.48,42,29.33,2.46,30.75,12.5,68.5,5.48,2.27,30.24,2.42,12.5,69.42,5.55,2.33,30.24,2.38,3.73,2.68,14.67,4.25,3.24,18,3.33
Connecticut,BE,0.4545,0.5575,37,2.22,59,2.01,25,2.11,89,2.31,47,0.4469,71,66.21,33.88,22.43,1.14,27.63,13.11,67.46,29.65,20.01,0.98,17.2,15.55,50.81,5.36,149.45,104.33,10.03,1.27,46.48,6.14,158.45,99.79,11.52,0.91,61.29,53.91,44.18,174.82,3.96,1.55,61.15,46.88,40.64,139.82,3.44,1.45,4.4,57.14,27.04,19.5,1.71,24.73,4.27,62.5,18.9,15.85,1.29,19.18,14.45,72.09,4.99,2.3,31.3,2.17,14.91,66.45,4.46,2.32,31.3,1.92,3.26,2.65,13.21,4.93,3.42,15.24,2.04
Duke,ACC,0.0909,0.1613,108,1.52,103,3.05,106,2.25,56,2.17,18,0.5211,42,71.87,26.55,19.08,0.97,17.39,15.42,63.83,48.55,30.99,1.45,40.15,11.09,47.18,4.69,121,80.39,10.16,0.45,59.46,7.58,204,141.59,16.58,2,60.5,51.23,39.55,127.09,3.21,1.45,60,50.4,40.36,207.27,5.14,2.73,3.5,70,19.58,14.69,1.24,16.09,9.59,66.67,42.47,35.62,2.79,37.09,13,65.36,5.03,2.12,30.77,2.37,13.27,67.27,5.07,2.3,30.77,2.2,5.99,3.62,18.18,3.04,2.43,12.33,-5.85
East Carolina,C-USA,0.4545,0.2512,94,1.8,87,2.86,91,2.15,77,2.58,85,0.3944,86,69.25,43.7,30.27,1.41,33.58,16.21,69.33,44.98,31.18,1.49,32.84,13.97,60.54,7.61,256,132.63,18.21,1.27,59.15,6.65,184.91,117.04,16.3,1,51.57,34.94,35.82,137.45,3.84,1.55,61.75,54.07,44.91,217.64,4.85,2.36,6.29,89.47,33.57,21.68,1.87,24.27,5.63,76.19,37.32,26.06,2.23,28.82,13,69.45,5.34,2.46,28.28,2.18,12.91,72.73,5.63,2.29,28.28,2.46,2.16,2.62,13.99,4.9,2.5,14.08,0.1
Eastern Michigan,MAC,0.3636,0.2454,96,1.77,89,2.84,90,2.07,94,2.64,98,0.3599,97,67.62,40.77,27.57,1.43,27.69,15.85,69.14,48.9,33.8,1.77,39.53,15.24,62.09,5.81,222.73,120.52,25.82,1.45,62.57,6.45,210,127.22,18.05,1.64,45.97,35.61,32.64,123.18,3.77,0.91,56.39,48.62,42.09,198.73,4.72,1.73,5.8,72,31.88,18.84,1.74,21.82,3.01,68.75,36.09,27.82,2.22,26.82,12.55,71,5.66,2.4,29.57,2.36,12.09,74.64,6.17,2.45,29.57,2.52,1.42,1.28,7.25,3.07,2.44,15.04,7.79
Florida,SEC,0.75,0.6676,19,2.66,28,1.98,22,2.24,60,2.08,7,0.5425,28,66.36,44.43,29.48,1.51,36.11,13.06,70.66,33.5,23.67,1.16,24.49,15.92,62.6,7.06,226.67,135.45,12,1.67,52.27,6.56,204.92,112.89,12.36,1.33,54.17,39.3,37.92,146.75,3.87,1.58,49.87,31.66,31.08,94.92,3.05,1.17,5.26,81.25,34.21,25.66,2.26,28.58,3.29,50,23.68,19.74,1.49,18.83,12.67,70,5.53,2.15,32.62,2.58,12.67,62.33,4.92,2.28,32.62,2.16,1.82,1.55,8.55,4.27,4.14,20.39,11.84
Florida Atlantic,C-USA,0.1818,0.1067,115,1.18,116,2.9,94,1.93,109,2.63,96,0.3256,106,73.55,30.36,22.33,1.15,16.55,21.72,66.21,46.84,31.01,1.52,32.81,12.81,52.53,6.59,177.82,110.84,9.25,1.18,51.79,6.94,176.64,111.86,47.67,0.91,58.75,39.16,38.45,114.45,2.98,0.55,63.4,55.25,44.09,218.09,4.95,2.55,3.47,40,15.97,13.19,1.03,13.45,8.57,61.9,36.43,27.14,2.42,30.82,13.09,65.45,5,2.23,29.39,2.25,12.73,69.55,5.46,2.27,29.39,2.4,5.72,3.47,17.36,5,2.35,12.86,-4.5
Florida International,C-USA,0.4545,0.2566,91,1.87,83,2.94,99,1.76,116,2.56,82,0.2923,116,70.39,42.76,30.1,1.54,31.2,15.34,66,45.37,29.94,1.5,34.68,12.79,60.42,6.76,235.91,122.96,25,1.27,68.2,8.23,211.82,152.45,12.79,1.73,48.25,34.19,32.55,122.55,3.77,1.09,60.36,43.61,39.18,163.82,4.18,2,4.58,78.57,28.24,19.85,1.96,23.36,10.14,71.43,36.96,29.71,2.34,29.36,11.91,67.45,5.66,2.25,30.01,2.52,12.55,64.91,5.17,2.16,30.01,2.39,3.13,4.04,22.9,3.53,3.08,15.94,-6.96
Florida State,ACC,0.6154,0.6262,25,2.6,33,2.09,29,2.29,52,2.03,2,0.5707,11,65.88,39.11,25.77,1.17,28.65,13.02,69.21,31.23,21.61,1.05,21.71,14.06,57.6,6.98,282.62,122.23,17.7,1.62,59.16,6.46,200.85,119.76,10.08,1.15,41.69,24.96,28.92,94,3.25,1.54,54.91,35.05,37.85,108.38,2.86,1.31,6.32,70.83,30.53,21.58,1.98,28.92,5.91,66.67,25.81,17.2,1.54,22,14.62,69.38,4.75,2.46,28.2,1.93,14.31,68.92,4.82,2.17,28.2,2.22,3.61,2.99,14.21,2.97,2.57,12.37,-1.84
