Team,Conf,Act W %,Pyth,Pyth Rank,Adj O,Rk,Adj D,Rk,Opp Adj O,Rk,Opp Adj D,Rk,Opp Pyth,Opp Pyth Rank,Avg FP,% of Avail Yards,Yrds / Poss,1st Downs / Poss,% of Poss in RZ,Yards / Point,Opp Avg FP,Opp % of Avail Yards,Opp Yrds / Poss,Opp 1st Downs / Poss,Opp % of Poss in RZ,Opp Yards / Point,Comp %,Pass Yards / Att,Pass Yards / Gm,Passer Rating,Pass Att / Sack,Pass TDs / Gm,Opp Comp %,Opp Pass Yards / Att,Opp Pass Yards / Gm,Opp Passer Rating,Opp Pass Att / Sack,Opp Pass TDs / Gm,% of Plays as Rush,% of Yards from Rush,Rush Att / Gm,Rush Yards / Gm,Rush Yards / Att,Rush TDs / Gm,Opp % of Plays as Rush,Opp % of Yards from Rush,Opp Rush Att / Gm,Opp Rush Yards / Gm,Opp Rush Yards / Att,Opp Rush TDs / Gm,% of Poss w/ 20+ Yard TD,FG %,% of Poss w/ Pts,Poss w/ TDs,Pts / Poss,Pts / Gm,Opp % of Poss w/ 20+ Yard TD,Opp FG %,Opp % of Poss w/ Pts,Opp Poss w/ TDs,Opp Pts / Poss,Opp Pts / Gm,Poss / Gm,Plays / Gm,Plays / Poss,Plays / Min,Avg TOP (min),Avg Drive Time (min),Opp Poss / Gm,Opp Plays / Gm,Opp Plays / Poss,Opp Plays / Min,Opp Avg TOP (min),Opp Avg Drive Time (min),Off % of Passes w/ INT,Off % of Plays w/ TO,Off % of Poss w/ TOs,Def % of Passes w/ INT,Def % of Plays w/ TO,Def % of Poss w/ TOs,Def-Off Poss TO % Margin
Notre Dame,Indy,0.75,0.7341,12,3.41,4,2.22,38,2.46,20,2.18,23,0.571,10,69.21,54.09,37.44,1.93,39.86,13.02,72.26,43.36,31.34,1.44,29.29,16.2,64.76,8.73,330.25,157.82,21.64,2.67,53.17,7.74,264.58,126.37,14.23,1.5,51.96,30.81,40.92,147.08,3.59,1.75,49.57,33.34,33.58,132.33,3.94,1.42,9.8,66.67,42.48,34.64,2.88,36.67,7.89,70.59,30.92,23.03,1.93,24.5,12.75,78.75,6.18,2.4,32.85,2.58,12.67,67.75,5.35,2.5,32.85,2.14,1.76,1.48,9.15,3.17,2.95,15.79,6.64
Ohio,MAC,0.3636,0.1698,106,1.41,107,2.75,82,2.11,88,2.55,78,0.3892,88,71.54,29.99,21.45,0.95,18.31,16.76,67.31,50.31,33.86,1.54,39.13,14.82,45.45,4.94,118.45,84.07,14.89,0.45,62.66,8.13,283.18,138.66,22.89,1.64,61.79,59.51,38.82,174.09,4.48,1.45,53.18,37.42,39.55,169.36,4.28,1.82,5.33,44.44,16.67,14,1.28,17.45,6.12,63.16,34.01,25.85,2.29,30.55,13.64,62.82,4.61,2.2,28.52,2.09,13.36,74.36,5.56,2.36,28.52,2.36,4.55,2.6,12,3.92,2.69,14.97,2.97
Ohio State,Big 10,0.8333,0.7971,8,2.66,27,1.49,3,2.79,4,2.32,49,0.6071,3,66.44,54.1,35.94,1.78,38.52,12.93,73.03,31.02,22.66,1.14,22.07,18.45,64.9,8.97,225.67,156.58,17.78,1.5,60.74,6.16,207.92,116.04,10.42,0.67,62.62,46.57,42.17,196.67,4.66,1.92,48.08,26.1,31.25,73.42,2.35,1,13.48,78.57,44.68,29.08,2.78,32.67,2.68,68.75,20.81,13.42,1.23,15.25,11.75,67.33,5.73,2.1,32.01,2.72,12.42,65,5.23,2.32,32.01,2.25,1.66,2.6,14.89,1.48,1.54,8.05,-6.84
Oklahoma,Big 12,0.6667,0.5913,31,2.47,41,2.12,31,2.72,6,2.22,30,0.619,1,68.21,37.18,25.36,1.29,26.75,13.19,69.66,31.63,22.04,1.09,24.22,13.29,53.27,6.34,177.58,109.82,17.39,0.83,52.97,5.92,216.08,111.83,10.73,1.67,61.02,49.99,43.83,177.5,4.05,2.25,47.23,29.54,32.67,90.58,2.77,0.92,6.55,63.64,30.36,22.02,1.92,26.92,3.59,77.78,26.95,18.56,1.66,23.08,14,71.83,5.13,2.28,31.48,2.25,13.92,69.17,4.97,2.43,31.48,2.05,3.27,2.78,14.29,2.97,2.77,13.77,-0.51
Oklahoma State,Big 12,0.3636,0.2127,100,1.59,99,2.76,84,2.41,31,2.29,42,0.5287,38,68.74,33.32,22.9,1.17,24.67,16.09,66.1,46.25,30.57,1.34,32.37,13.42,49.38,5.84,170.91,99.14,14.42,1,61.61,7.6,214.18,138.19,13.16,1.36,57.29,47.38,39.27,153.91,3.92,1.45,59.53,48.96,41.45,205.45,4.96,2.18,3.85,78.57,24.36,17.31,1.42,20.18,7.95,70.83,37.09,25.83,2.28,31.27,14.18,68.55,4.83,2.45,27.95,1.97,13.73,69.64,5.07,2.17,27.95,2.33,5.28,4.64,22.44,1.61,2.61,13.25,-9.19
Oregon,Pac 12,0.8333,0.6888,17,3.17,9,2.27,44,2.6,10,2.39,55,0.5493,23,67.79,47.66,32.31,1.5,40.13,12.72,66.65,38.79,25.86,1.24,26.11,15.44,62.86,7.58,304.5,141.56,27.78,2.33,56.88,6.06,223.75,113.8,15.77,1.83,46.97,30.61,35.58,134.33,3.78,1.33,47.88,37.44,33.92,133.92,3.95,1,6.75,69.7,41.1,26.99,2.54,34.5,5.42,64.71,27.11,20.48,1.67,23.17,13.58,75.75,5.58,2.57,29.43,2.17,13.83,70.83,5.12,2.32,29.43,2.21,2.07,2.09,11.66,5.19,3.76,19.28,7.62
Oregon State,Pac 12,0.4545,0.3233,84,2.22,58,3.04,105,2.67,8,2.51,68,0.5369,32,65.81,43.77,28.81,1.4,34,15.73,70.73,38.81,27.45,1.18,29.73,12.26,58.17,7.1,296.45,117.17,16.3,1.18,52.74,8.58,298.73,145.25,18.41,2.82,47.48,29.25,37.73,122.55,3.25,1.55,50.13,26.55,35,108,3.09,1.18,6.25,82.14,33.13,18.75,1.83,26.64,9.2,84.62,33.74,26.99,2.24,33.18,14.55,79.45,5.46,2.43,32.75,2.25,14.82,69.82,4.71,2.56,32.75,1.84,5.01,4.12,22.5,3.13,2.86,13.5,-9
Penn State,Big 10,0.9167,0.7981,7,2.98,11,1.67,8,2.46,19,2.33,50,0.5329,34,66.7,46.24,30.84,1.47,35.81,12.25,70.2,31.76,22.29,1.19,21.52,17.92,52.87,7.57,208.75,128.34,24.64,1.5,56.55,5.84,211.67,106.59,11.61,0.92,60.31,50.47,41.92,212.75,5.08,2.42,50.4,30.53,36.83,93,2.52,1,9.76,69.57,38.41,28.66,2.52,34.42,3.66,54.55,21.34,14.02,1.24,17,13.67,69.5,5.09,2.35,29.56,2.16,13.67,73.08,5.35,2.4,29.56,2.23,3.02,2.64,13.41,3.68,2.85,15.24,1.83
Pittsburgh,ACC,0.4545,0.5334,42,2.22,61,2.09,30,2.35,42,2.26,35,0.5226,41,67.18,37.92,25.48,1.22,27.54,13.84,69.01,37.15,25.64,1.23,27.34,15.3,55.91,6.94,219,125.2,13.18,1.55,49.83,5.7,152.82,99.39,15.75,0.91,53.67,34.79,36.55,116.82,3.2,0.82,61.79,54.79,43.36,185.18,4.27,1.27,4.83,76.19,28.97,17.93,1.84,24.27,4.14,55,24.14,16.55,1.68,22.09,13.18,68.09,5.17,2.39,28.43,2.16,13.18,70.18,5.32,2.22,28.43,2.39,2.59,3.2,16.55,4.75,2.59,13.79,-2.76
Purdue,Big 10,0.4545,0.4809,51,2.49,38,2.57,72,2.48,16,2.45,60,0.507,47,68.05,46.17,31.42,1.55,31.43,14.28,71.99,43.3,31.17,1.57,27.46,15.33,56.31,6.21,241.73,110.13,54.5,0.91,58.78,8.04,287.27,136.83,15.56,1.91,49.29,43.58,37.82,186.73,4.94,2.82,53.1,33.31,40.45,143.45,3.55,1.27,6.67,57.14,32.67,27.33,2.2,30,6.58,66.67,32.24,23.03,2.03,28.09,13.64,76.73,5.63,2.62,29.27,2.15,13.82,76.18,5.51,2.48,29.27,2.22,3.04,2.49,14,3.56,2.86,15.79,1.79
Rice,C-USA,0.0909,0.1291,111,1.59,100,3.56,118,2.5,14,2.59,86,0.4797,57,71.77,37.75,27.09,1.48,29.69,15.4,66.85,55,36.76,1.65,42.62,11.19,42.38,5.41,103.27,90.54,11.5,0.82,65.52,9.2,242.55,160.28,25.17,1.73,74.07,69.4,54.55,234.18,4.29,2,59.83,46.64,39.27,212,5.4,3,6.57,60,27.01,22.63,1.76,21.91,10.29,75,47.06,38.24,3.29,40.64,12.45,73.64,5.91,2.34,31.43,2.52,12.36,65.64,5.31,2.3,31.43,2.31,5.71,3.46,20.44,2.07,1.52,8.09,-12.35
Rutgers,BE,0.5833,0.3907,74,2.03,70,2.45,59,2.25,55,2.45,61,0.4481,70,68.19,43.14,29.41,1.39,28.48,13.85,69.89,40.21,28.1,1.48,31.37,14.55,57.7,7.89,234.83,131.85,23.31,1.67,61.17,7.29,239.33,136.1,9.57,1.67,55.98,40.86,37.83,162.25,4.29,1.33,55.07,35.72,40.25,133,3.3,1.33,6.79,74.07,34.57,22.22,2.12,28.67,3.77,66.67,30.19,22.64,1.93,25.58,13.5,67.58,5.01,2.22,30.42,2.25,13.25,73.08,5.52,2.47,30.42,2.23,5.32,2.84,14.2,1.52,2.28,12.58,-1.62
SMU,AAC,0.4545,0.2574,90,1.64,97,2.56,71,2.22,64,2.63,95,0.4014,83,67.39,34.23,23.07,1.08,23.02,14.81,67.41,42.72,28.79,1.5,33.57,15.43,52.47,6.02,177.27,108.27,11.8,0.91,58,6.88,250,120.45,22.05,1.45,56.16,42.49,37.73,131,3.47,1.18,51.69,36.33,38.91,142.64,3.67,1.55,5.44,81.82,27.89,15.65,1.56,20.82,6.67,52.17,30,22,1.87,25.45,13.36,67.18,5.03,2.33,28.78,2.15,13.64,75.27,5.52,2.41,28.78,2.29,2.47,2.98,14.97,4.25,3.26,18,3.03
San Diego State,MWC,0.4167,0.4747,54,2.38,48,2.48,61,2.32,45,2.6,92,0.4318,75,71.67,39.92,28.61,1.38,28.67,14.08,66.67,44.29,29.53,1.5,34.59,14.99,61.35,6.93,231.58,129.04,15.85,1.67,57.99,6.51,220.75,111.92,24.94,0.83,53.32,38.91,38.17,147.5,3.86,1.33,55.81,45.63,42.83,185.25,4.32,2.5,5.66,88.24,32.08,22.64,2.03,26.92,3.64,73.68,32.73,24.24,1.97,27.08,13.25,71.58,5.4,2.47,28.93,2.18,13.75,76.75,5.58,2.47,28.93,2.26,3.49,3.03,16.35,4.42,3.04,16.97,0.62
San Jose State,MWC,0.2727,0.1347,109,1.37,110,3,104,2.06,97,2.84,119,0.3196,110,68.66,35.94,24.68,1.13,25.17,15.32,70.13,44.94,31.51,1.6,35.71,13.59,47.5,6.14,200.91,105.79,25,1.27,62.9,8,296,140.74,16.65,1.91,51.94,41.84,35.36,144.55,4.09,1.27,53.06,32.91,41.82,145.18,3.47,1.91,7.14,61.11,25.32,18.18,1.61,22.55,9.09,72.22,35.71,27.27,2.32,32.45,14,68.09,4.86,2.49,27.31,1.95,14,78.82,5.63,2.41,27.31,2.34,3.06,2.54,12.34,3.19,2.42,13.64,1.3
South Carolina,SEC,0.5833,0.4845,50,2.22,60,2.28,47,2.3,50,2.18,24,0.5313,37,70.97,36.84,26.14,1.29,27.94,13.35,67.03,43.93,29.45,1.53,33.33,15.52,60,7.46,220.75,135.44,12.64,1.75,55.89,6.13,186.5,109.86,12.59,0.83,50.69,30.12,30.42,95.17,3.13,1.08,58.19,48.3,42.33,174.25,4.12,1.5,6.21,71.43,30.34,23.45,1.96,23.67,4.08,76,31.97,19.05,1.9,23.25,12.08,60,4.97,2.15,27.87,2.31,12.25,72.75,5.94,2.26,27.87,2.62,3.38,3.06,15.17,3.29,2.75,16.33,1.15
South Florida,BE,0.5,0.5859,33,2.04,69,1.77,16,2.41,30,2.18,25,0.5577,14,66.86,38.75,25.91,1.32,30.97,15.11,69.77,33.12,23.1,1.06,22.29,17.33,47.19,5.73,144.58,94.11,14.17,0.67,51.95,6.44,165.42,109.43,9.56,0.92,65.65,58.4,48.25,203,4.21,1.92,59.1,46.97,37.08,146.5,3.95,1.25,3.73,57.89,26.09,19.25,1.71,23,3.09,58.33,20.37,16.05,1.33,18,13.42,73.5,5.48,2.3,31.91,2.38,13.5,62.75,4.65,2.23,31.91,2.08,4.95,2.83,15.53,4.22,3.98,18.52,2.99
Southern Mississippi,C-USA,0.5833,0.4695,55,2.2,63,2.32,48,2.13,86,2.36,53,0.4408,73,64.27,43.6,28.03,1.31,32.39,12.08,71.88,42.72,30.71,1.55,30.82,17.39,54.77,7.22,246,127.6,30.21,1.92,57.57,7.6,234.25,129.33,12.94,1.5,50,31.16,34.08,111.33,3.27,1.33,57.13,40.56,41.08,159.83,3.89,1.33,7.19,82.14,40.52,25.49,2.32,29.58,5.19,55,29.22,22.08,1.77,22.67,12.75,68.17,5.35,2.33,29.27,2.3,12.83,71.92,5.6,2.34,29.27,2.39,3.18,2.44,13.07,4.05,3.94,22.08,9.01
Stanford,Pac 12,0.4545,0.3403,79,2.03,71,2.68,81,2.95,1,2.52,69,0.5926,6,67.36,35.61,23.99,1.26,29.29,12.93,70.88,46.66,33.07,1.57,36.03,14.42,61.42,7.31,223.91,135.69,9.64,1.64,60.82,8.11,285.91,140.59,13.13,1.91,53.45,29.18,35.18,92.27,2.62,0.73,52.74,35.3,39.36,156,3.96,2.09,3.45,65.22,28.28,17.93,1.86,24.45,7.48,35.29,34.01,29.93,2.29,30.64,13.18,65.82,4.99,2.19,30.02,2.28,13.36,74.64,5.59,2.49,30.02,2.24,2.37,2.35,11.72,3.09,2.56,14.29,2.56
Syracuse,ACC,0.0909,0.2154,99,1.37,109,2.37,52,2.42,28,2.29,40,0.5325,35,71.4,24.94,17.81,0.81,12.58,18.63,66.83,39.07,26.11,1.16,28.57,13.9,45.72,5.46,150.82,88.21,9.11,0.55,54.95,6.96,185.45,117.39,12.72,1.09,56.57,41.4,36,106.55,2.96,1,61.85,50.24,43.18,187.27,4.34,1.55,5.03,60,16.35,10.69,0.96,13.82,6.37,69.57,28.66,18.47,1.88,26.82,14.45,63.64,4.4,2.28,27.97,1.93,14.27,69.82,4.89,2.18,27.97,2.24,4.93,3.86,16.98,4.78,2.99,14.65,-2.33
TCU,MWC,0.9167,0.7454,11,2.81,17,1.79,17,2.14,84,2.51,67,0.4072,81,65.85,41.41,27.27,1.34,34.55,12.06,68.41,32.07,21.94,1.08,21.89,17.71,55.29,6.6,207.75,117.97,16.75,1.25,52.24,6.24,221.17,103.33,11.37,1.17,58.69,48.05,44.75,192.17,4.29,2.67,51.76,32.79,38,107.92,2.84,1,6.25,77.27,36.36,26.7,2.26,33.17,6.11,56.52,21.67,14.44,1.24,18.58,14.67,76.25,5.2,2.55,29.86,2.04,15,73.42,4.89,2.44,29.86,2.01,2.91,2.08,10.8,6.12,4.54,22.22,11.43
Temple,AAC,0,0.0739,118,1.32,112,3.83,119,2.59,11,2.42,58,0.5397,29,74.02,25.19,18.64,1,14.58,25.44,61.62,60.5,37.28,1.86,55.65,10.18,47.73,5.5,165.45,89.45,12.82,0.36,66.15,8.78,259.27,163.16,20.12,2.64,53.51,33.14,34.64,82,2.37,0.82,59.22,43.75,42.91,201.64,4.7,2.82,1.37,55.56,12.33,8.9,0.73,9.73,8.82,66.67,52.94,44.12,3.66,45.27,13.27,64.73,4.88,2.24,28.9,2.18,12.36,72.45,5.86,2.33,28.9,2.52,4.23,4.07,19.86,3.08,2.63,15.44,-4.42
Tennessee,SEC,0.4545,0.4608,59,1.69,94,1.81,18,2.37,37,2.15,15,0.559,12,69.5,37.69,26.2,1.33,28.57,17.51,69.64,33.4,23.26,1.19,24.64,16,52.25,6.12,198,106.53,19.74,1,59.89,6.52,215.73,117.87,12.03,0.82,52.85,39.31,36.27,128.27,3.54,0.91,49.44,27.65,32.36,82.45,2.55,0.73,2.92,73.68,25.55,15.33,1.5,18.64,2.13,86.36,25.53,12.06,1.45,18.64,12.45,68.64,5.51,2.33,29.45,2.36,12.82,65.45,5.11,2.14,29.45,2.38,3.65,3.58,19.71,2.47,2.78,14.18,-5.52
Texas,Big 12,1,0.9029,1,3.85,2,1.5,4,2.43,26,2.23,32,0.5518,18,64.08,58.69,37.61,1.7,48.32,10.21,71.27,30.53,21.76,1.13,20.69,18.49,64.88,9.18,237.15,160.94,25,2,51.15,5.13,172,96.75,15.06,0.77,64.29,53.69,46.54,274.92,5.91,4.23,51.39,43.22,35.46,130.92,3.69,1.15,15.82,77.78,53.67,45.76,3.68,50.15,3.87,70,21.55,13.81,1.18,16.38,13.62,72.38,5.32,2.34,30.89,2.27,13.92,69,4.96,2.37,30.89,2.09,3.27,2.13,11.3,2.52,3.01,14.92,3.62
Texas A&M,Big 12,0.4545,0.5379,41,2.85,15,2.67,80,2.35,40,2.08,6,0.5728,9,71.04,47.56,33.78,1.54,34.62,13.82,68.08,49.8,33.9,1.6,39.26,14.23,51.71,7.11,207.36,124.71,22.4,1.73,60.55,8.42,304.64,142.66,16.31,1.91,58.47,53.11,41.09,234.91,5.72,2.18,51.34,31.36,38.18,139.18,3.65,1.73,9.72,71.43,40.28,29.86,2.44,32,6.25,63.64,37.5,27.78,2.38,31.18,13.09,70.27,5.37,2.37,29.7,2.27,13.09,74.36,5.68,2.45,29.7,2.31,3.12,2.59,13.89,3.02,3.18,18.06,4.17
Texas Tech,Big 12,0.75,0.8179,4,3.32,6,1.76,15,2.35,41,2.15,17,0.5516,19,68.51,55.32,37.9,1.84,45.21,12.58,71.46,35.92,25.67,1.29,23.84,17.83,66.5,7.94,388.83,148.15,18.29,2.83,55.03,5.73,180.42,107.26,23.24,1,34.38,21.58,25.67,107,4.17,2.08,55.37,46.28,39.08,155.42,3.98,1.25,7.01,72.22,45.86,37.58,3.01,39.42,3.82,58.82,23.57,17.2,1.44,18.83,13.08,74.67,5.71,2.57,29.01,2.22,13.08,70.58,5.39,2.28,29.01,2.37,2.04,2.12,12.1,3.17,3.31,17.83,5.73
Toledo,MAC,0.75,0.5468,39,2.71,23,2.5,66,2.07,96,2.75,114,0.3374,102,67.58,54.75,37,1.85,45.04,12.51,70.01,36.94,25.86,1.41,26.95,14.57,63.76,7.31,230.25,144.47,32.5,2.5,55.41,5.91,191.25,110.97,13.13,1.33,56.45,48.5,40.83,216.83,5.31,1.67,52.74,39.64,36.08,125.58,3.48,1.08,9.66,100,43.45,34.48,2.96,35.75,4.08,66.67,26.53,19.73,1.78,21.75,12.08,72.33,5.99,2.36,30.67,2.54,12.25,68.42,5.59,2.33,30.67,2.39,3.44,2.3,13.79,3.87,2.92,16.33,2.53
Troy,Sun Belt,0.3636,0.1711,105,1.25,114,2.42,55,1.81,114,2.72,111,0.2767,118,67.06,33.16,22.24,1.19,25.74,17.92,67.98,38.38,26.09,1.33,27.27,14.12,50.34,6.16,166.91,105.98,10.31,1.09,58.46,6.22,183.82,117.8,20.7,0.91,59.07,41.45,39.09,118.18,3.02,0.55,56.61,43.83,38.55,143.45,3.72,1.45,3.55,55,20.57,12.77,1.24,15.91,4.35,73.91,31.16,18.84,1.85,23.18,12.82,66.18,5.16,2.27,29.22,2.28,12.55,68.09,5.43,2.21,29.22,2.45,4.7,3.43,17.73,1.54,2.14,11.59,-6.14
Tulane,C-USA,0.1818,0.2342,97,1.8,88,2.97,101,2.12,87,2.59,90,0.3828,92,70.21,35.16,24.69,1.29,23.31,15.09,64.43,44.12,28.42,1.26,34.09,11.76,51.54,6.03,231.91,110.23,20.23,1.82,58.39,6.87,178.55,130.8,14.95,1.55,44.63,27.73,31,89,2.87,0.82,61.82,52.02,42.09,193.55,4.6,2.27,6.99,66.67,23.08,20.28,1.64,21.27,8.33,52.94,35.42,29.17,2.42,31.64,13,69.45,5.34,2.39,29.05,2.23,13.09,68.09,5.2,2.2,29.05,2.36,3.78,3.4,18.18,2.45,1.87,9.72,-8.46
Tulsa,C-USA,0.6923,0.6368,23,2.87,14,2.26,43,2.2,68,2.57,83,0.4106,79,67.81,45.9,31.13,1.43,36.67,12.16,69.91,39.02,27.28,1.28,25.66,14.85,62.81,7.59,237.15,139.72,16.62,1.62,54.04,6.67,184.31,106.12,12.77,0.69,54.74,41.04,37.77,165.08,4.37,2.23,58.21,47.08,38.46,164,4.26,1.77,10.71,85.71,40.48,29.76,2.56,33.08,8.43,83.33,28.31,19.28,1.84,23.46,12.92,69,5.34,2.13,32.35,2.5,12.77,66.08,5.17,2.39,32.35,2.17,1.97,1.9,10.12,6.13,4.19,21.69,11.57
UAB,C-USA,0.4545,0.4457,63,2.28,54,2.49,64,1.86,113,2.54,73,0.322,108,70.98,51.02,36.22,1.75,33.33,15.57,69.08,44.92,31.03,1.6,30.33,15.52,62.98,8.26,292.09,145.7,26.93,2.09,60.98,7.13,224.27,126.89,20.22,1.45,48.34,32.8,33.09,142.55,4.31,1.27,54.71,39.77,38,148.09,3.9,1.27,9.09,77.78,38.64,28.03,2.33,27.91,7.58,85,35.61,22.73,2,24,12,68.45,5.7,2.26,30.25,2.52,12,69.45,5.79,2.33,30.25,2.48,3.08,2.26,12.88,4.62,2.88,16.67,3.79
UCF,AAC,0.6154,0.417,69,2.47,42,2.84,89,2.07,95,2.53,70,0.3835,91,66.23,46.61,30.87,1.56,36.36,13.99,69.83,47.16,32.93,1.56,35.14,14.65,59.14,7.73,234.23,139.59,11.65,1.85,59.19,7.49,241.54,131.18,17.12,1.77,58.57,41.63,42.85,167.08,3.9,1.38,53.24,42.55,36.69,178.92,4.88,1.92,8.88,64.71,37.87,24.85,2.21,28.69,10.84,68.42,36.75,28.92,2.25,28.69,13,73.15,5.63,2.3,31.74,2.44,12.77,68.92,5.4,2.44,31.74,2.21,2.28,2.1,11.83,4.53,3.57,19.28,7.44
UCLA,Pac 12,0.8333,0.5322,43,3.29,7,3.11,110,2.45,22,2.55,77,0.4766,60,67.8,48.59,32.94,1.52,37.76,11.03,72.28,47.97,34.67,1.71,39.22,13.7,63.5,8.34,270.33,159.3,15.96,2.83,59.37,6.87,235.33,128.45,18.13,1.58,52.85,37.28,36.33,160.67,4.42,1.75,55.85,49.72,43.33,232.75,5.37,2.42,8.92,76.47,43.31,35.03,2.99,39.08,5.56,77.78,38.27,29.63,2.53,34.17,13.08,68.75,5.25,2.39,28.79,2.2,13.5,77.58,5.75,2.49,28.79,2.31,1.54,1.94,10.19,1.95,2.36,13.58,3.39
UNLV,MWC,0.1818,0.1171,114,1.36,111,3.2,112,2.14,82,2.72,112,0.3627,96,71.93,34.3,24.67,1.26,25.71,17.28,64.96,50.13,32.57,1.63,43.55,11.71,54.57,6.06,217.18,109.44,11.1,1.36,65.83,8.62,250.09,153.76,16.19,1.64,48.16,33.21,33.27,108,3.25,0.91,59.52,38.35,42.64,155.55,3.65,2.45,3.45,75,25.52,17.24,1.43,18.82,9.49,68.42,42.34,32.85,2.78,34.64,13.18,69.09,5.24,2.42,28.57,2.17,12.45,71.64,5.75,2.28,28.57,2.52,4.31,3.16,16.55,1.57,2.03,11.68,-4.87
USC,Pac 12,0.9231,0.8341,2,4.02,1,2.03,27,2.81,2,2.32,48,0.6109,2,68.42,66.36,45.4,2.12,54.68,11.81,71.06,40.76,28.96,1.51,31.41,15.8,64.86,8.64,319.77,155.26,33.07,2.46,59.73,6.63,230.38,118.8,15.13,1.38,52.19,44.85,40.38,260,6.44,3.92,49.55,36.17,34.15,130.54,3.82,1.31,16.27,91.67,56.63,50,3.84,49.08,3.7,68.75,28.4,21.6,1.83,22.85,12.77,77.38,6.06,2.5,30.97,2.43,12.46,68.92,5.53,2.37,30.97,2.33,2.08,1.69,10.24,4.87,4.24,23.46,13.22
UTEP,C-USA,0.6667,0.4448,64,2.39,46,2.63,78,2,105,2.7,108,0.3299,103,68.3,45.85,31.31,1.53,35.14,13.28,67.93,39.74,26.99,1.34,29.33,14.41,58.52,7.88,300.58,136.83,16.79,2.42,57,6.38,212.75,124.24,14.56,2.08,46.31,28.9,32.92,122.17,3.71,1.17,55.51,43.03,41.58,160.67,3.86,1,8.64,78.26,37.65,26.54,2.36,31.83,9.64,83.33,31.33,22.29,1.87,25.92,13.5,71.08,5.27,2.57,27.62,2.05,13.83,74.92,5.42,2.31,27.62,2.34,4.37,3.99,20.99,3.5,2.56,13.86,-7.13
Utah,MWC,0.5833,0.4986,47,2.26,56,2.27,45,2.05,100,2.55,76,0.3748,94,68.78,50.01,34.4,1.59,30.41,15.77,71.84,38.08,27.35,1.31,27.74,15.52,62.17,8.52,294.5,149.56,14.83,2.17,54.45,6.83,223.67,120.14,15.04,1.58,54.35,37.74,41.17,178.5,4.34,1.5,53.55,40.17,37.75,150.17,3.98,1.33,10.3,84.21,36.36,26.67,2.18,30,5.49,78.57,28.05,21.34,1.76,24.08,13.75,75.75,5.51,2.43,31.21,2.27,13.67,70.5,5.16,2.45,31.21,2.11,2.41,2.64,14.55,3.82,2.72,14.02,-0.52
Utah State,MWC,0.2727,0.1296,110,1.3,113,2.91,97,2.06,98,2.65,100,0.356,99,71.65,35.79,25.64,1.32,24.22,16.76,64.31,49.92,32.1,1.55,41.86,12.39,60.26,7.17,200,130.29,11.23,1.27,62.16,7.78,261.55,145.1,16.42,2.18,58.79,36.91,39.82,117,2.94,0.91,52.26,35.52,36.82,144.09,3.91,1.82,5.88,41.18,22.79,17.65,1.53,18.91,7.19,63.64,41.73,31.65,2.59,32.73,12.36,67.73,5.48,2.25,30.15,2.44,12.64,70.45,5.58,2.36,30.15,2.36,2.61,2.55,13.97,1.89,2.19,12.23,-1.74
Vanderbilt,SEC,0.4545,0.4872,49,2.41,45,2.46,60,2.08,92,2.13,12,0.4861,55,74.31,42.13,31.31,1.66,33.82,14.56,65.49,48.63,31.85,1.54,40.31,13.49,58.67,6.61,280.55,125.17,21.3,1.91,57.67,7.55,223.82,133.41,24.29,1.55,43.6,29.09,32.82,115.09,3.51,1.45,56.06,43.15,37.82,169.91,4.49,1.82,2.16,70.59,35.25,26.62,2.15,27.18,5.15,72.22,36.76,27.21,2.36,29.18,12.64,75.27,5.96,2.37,31.69,2.51,12.36,67.45,5.46,2.38,31.69,2.29,1.93,1.93,11.51,2.45,1.89,10.29,-1.22
Virginia,ACC,0.5833,0.5508,38,2.46,44,2.26,42,2.21,65,2.3,44,0.476,61,67.13,44.54,29.9,1.44,35.71,13.73,72.86,41.82,30.47,1.59,26.47,16.16,61.71,7.39,223.67,130.29,12,1.25,62.09,6.72,224.58,123.41,22.11,1.25,55.35,38.93,37.5,142.58,3.8,1.67,53.21,40.23,38,151.17,3.98,1.5,4.76,88,38.78,23.81,2.18,26.67,8.11,63.64,31.76,22.3,1.89,23.25,12.25,67.75,5.53,2.33,29.04,2.37,12.33,71.42,5.79,2.31,29.04,2.51,3.58,2.21,12.24,3.74,2.45,14.19,1.94
Virginia Tech,ACC,0.8462,0.8199,3,2.67,26,1.41,2,2.29,53,2.15,14,0.5377,30,66.26,47.6,31.54,1.66,41.78,11.25,73.38,27.76,20.37,1.03,22.22,19.16,60.13,8.22,190.23,142.24,9.85,1.38,49.61,5.18,154.23,92.69,11.46,0.85,66.56,50.06,46.08,190.69,4.14,2.31,50.95,37.71,30.92,93.38,3.02,0.46,7.01,86.36,42.68,30.57,2.8,33.85,3.16,66.67,18.35,10.76,1.06,12.92,12.08,69.23,5.73,2.12,32.62,2.7,12.15,60.69,4.99,2.22,32.62,2.25,3.32,2,11.46,4.91,3.42,17.09,5.62
